last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Lobaton, Jose,446653,2015,1070,3,52.5,20,28.9,14.9,79.9,61.8,47.7,51.6,38.1
Cervelli, Francisco,465041,2015,3482,21,52.4,14.4,30.6,12.6,71.8,67.7,50.8,53.2,33.5
Ross, David,424325,2015,1321,3,52.3,19.1,30.2,6.1,76.5,68,38.5,49.5,32.6
Grandal, Yasmani,518735,2015,2801,24,52.2,31.3,50.7,19.7,74.1,74.6,38.3,37.1,35.2
Posey, Buster,457763,2015,2633,14,52.1,19.2,47.4,8.8,75.6,68.9,38.6,46.7,28
Hedges, Austin,595978,2015,1209,6,51.8,23.3,35.6,17.2,74.6,67.2,44.6,59.1,19.2
Plawecki, Kevin,608700,2015,1818,8,51.8,11.8,42.2,6.3,76.1,69.2,42,52.9,29.2
Castro, Jason,488771,2015,2876,10,51.3,23,35.6,16.7,74.8,73.9,37.6,45.7,28.3
Montero, Miguel,471083,2015,2770,13,51.2,16.5,32.3,11.1,78.4,65.5,46.5,54.3,28
Stewart, Chris,455755,2015,1127,4,51.2,4.1,38.7,14,71.9,62.6,48.8,55.7,31
Flowers, Tyler,452095,2015,2778,9,50.6,9.8,35.2,12.4,69.6,67.5,41.9,55.4,32.5
d'Arnaud, Travis,518595,2015,2241,7,49.8,18.1,37.2,13.3,76.7,59.6,45.1,52.5,24.9
Rivera, Rene,425784,2015,2487,7,49.4,23.8,35.6,5.7,80.6,59,48.2,50.8,20.4
Sucre, Jesus,491696,2015,1219,4,49.1,18,35.9,8.3,78,55.8,40.2,49.4,26.5
Iannetta, Chris,455104,2015,2432,8,48.8,28,44.1,14.1,75,62.8,37.7,46.1,23.5
Zunino, Mike,572287,2015,2833,7,48.5,26.4,37.5,9.1,76.8,53.1,34.5,53.6,27.7
Hanigan, Ryan,452672,2015,1556,1,48.5,18.4,39.4,15.9,76,59.5,41.8,51.5,23.3
Maldonado, Martin,455117,2015,2041,3,48.5,15,30.7,16.9,77.7,63.2,38.2,48.5,29.5
Molina, Yadier,425877,2015,3481,8,48.3,18.5,44.6,13.3,76.6,61.8,37,42.5,19.8
Murphy, John Ryan,571974,2015,1424,0,48.2,20.2,37.1,6,82.6,55.3,39.3,46.5,15.3
Norris, Derek,519083,2015,3405,15,48.2,19.6,35.5,11.9,83,57.5,51.4,41.9,18.9
Conger, Hank,474233,2015,1585,1,48,18.3,33,9.4,75.3,65,40,48.8,30.2
Corporan, Carlos,449786,2015,989,1,47.9,22.7,40.8,8.3,78.7,53.7,48.6,46.2,19.1
Wilson, Bobby,435064,2015,1278,3,47.4,24.2,38.2,13.7,80,56.8,30.9,51.1,22.8
Lucroy, Jonathan,518960,2015,2388,1,47.4,20.6,33.2,10.4,76.1,62.3,42.2,48.8,20.5
Joseph, Caleb,543376,2015,2759,5,47.1,23.1,38.2,11,83.7,51.2,40.8,45.5,19
Perez, Roberto,547379,2015,1717,1,47.1,20.2,32.1,17.1,72.9,64.1,39.5,46.4,25.7
Soto, Geovany,434567,2015,1495,0,47,11.7,34.4,11.9,75.2,62.8,29.4,49.2,30.2
Barnhart, Tucker,571466,2015,2004,1,46.9,19.2,17.9,3.4,74.2,56.1,41.3,49.1,29.9
Ramos, Wilson,467092,2015,3196,-4,46.4,33,49.7,17.4,82.1,51.3,26.5,35.4,7
Wieters, Matt,446308,2015,1633,-1,46.1,28.3,41.3,15.9,82.6,45,41.9,39.5,8.3
Phegley, Josh,572033,2015,1756,-4,45.9,14.8,19,5.4,79.3,54.8,35.8,47.8,25.9
McCann, Brian,435263,2015,3511,-5,45.9,20.9,22.6,4.6,82.6,48.9,44,46.6,15.6
Martin, Russell,431145,2015,3378,-2,45.9,25.5,36.1,11,77.3,55.4,36.9,44.8,15.9
Suzuki, Kurt,435559,2015,3534,-11,45.7,13.1,24.8,8.2,75,59.3,40.8,44,23
Vogt, Stephen,519390,2015,2619,-3,45.6,15.1,26.5,12.5,77.9,62.1,31.5,38.6,21.5
Perez, Carlos,542208,2015,2115,-1,45.6,24.8,37.9,7.1,74,52.3,32.2,48.9,18
Castillo, Welington,456078,2015,2508,-3,44.6,11.2,28.1,6.5,68.2,59.1,33.4,48.1,22.1
Pierzynski, A.J.,150229,2015,2928,-8,44.6,21.6,39.3,13.8,77.3,57.1,38.2,33.1,16.1
Rupp, Cameron,519237,2015,2127,-5,44.6,16.5,30.5,13.2,76.2,60.1,25.6,43.5,21.1
Realmuto, J.T.,592663,2015,3260,-7,44.5,16.1,31.3,10,72.5,54.1,36,47.5,18.1
Chirinos, Robinson,455139,2015,2328,-7,44.4,13.7,34.2,4.1,75.2,56,36,42.9,20.6
Perez, Salvador,521692,2015,4255,-16,44.3,23.5,36.1,13.8,74.1,58.3,32.2,40.2,18.1
Butera, Drew,460077,2015,1023,-4,44.3,15.3,33,10.2,75,62,43.9,40.1,16.1
Gomes, Yan,543228,2015,2395,-6,44.3,16.4,33.1,14.6,83.6,46,42.4,43.9,11.9
Saltalamacchia, Jarrod,457454,2015,1298,-5,43.6,16.4,32.5,16.7,73.2,61.7,22.2,36,18.9
Navarro, Dioner,425900,2015,1066,-2,43.5,24.2,41.2,20,77.6,58.1,30.1,28.7,14.7
Gimenez, Chris,460269,2015,1021,-2,43.5,17.6,28.6,5.1,83.9,52.7,43.7,40.3,18.6
Pena, Brayan,430910,2015,2422,-7,43.4,20.8,34.4,15.4,71.6,58.5,36.4,34.5,18.8
Bethancourt, Christian,542194,2015,1207,-3,43.4,15.5,31,7.4,83.1,46.6,42.7,41,11.3
McCann, James,543510,2015,3094,-14,43.1,17.7,42.7,15.1,69.1,59.6,27.1,36.2,16.2
Ruiz, Carlos,434563,2015,2406,-11,43,12.8,32.3,12.9,71.8,49.2,37.2,46.1,11.7
Avila, Alex,488671,2015,1285,-6,43,19.5,32.6,16.4,73.5,54.2,33.7,38.8,13.6
Swihart, Blake,596119,2015,2425,-9,42.5,16.2,38.7,17.3,65.5,61.3,27.2,36.8,21.4
Hundley, Nick,460026,2015,2809,-11,42.2,21.9,37.4,17.7,70.6,63.7,24.8,30.1,15.9
Ellis, A.J.,454560,2015,1602,-8,40.8,24.1,51.2,10.6,71.6,59.5,20,23.1,11